Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
130170405000001,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704009,Centro,1,0,209,756,3.62,5.46,2042.88,13743546.77,2235.4,14612935.93,956.44,5579284.77,1567.86,8194207.51,NA
130170405000002,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704008,São José,1,0,188,807,4.29,5.66,1247.04,3695811.34,1562.95,4141291.29,559.84,1641064.74,1173.74,2723416.51,NA
130170405000003,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704010,São Cristóvão,1,0,187,692,3.7,4.88,1111.79,2709710.04,1215.82,2837519.28,602.64,1303167.61,985.97,1755485.67,NA
130170405000004,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704003,São Pedro,1,0,168,631,3.76,4.05,1485.27,4608950.66,1685.99,4895317.88,764.51,2143281.79,1346.99,2994560.44,NA
130170405000005,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704002,Nova Humaitá,1,0,184,777,4.22,3.99,772.8,1454397.18,1102.29,1713305.86,566.62,940755.96,1019.3,1231713.38,NA
130170405000006,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704012,Divino Pranto,1,0,257,1157,4.5,6.99,646.63,625627.23,732.08,645836.41,338.55,332315.25,640.17,435509.54,NA
130170405000007,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704007,Novo Centenário,1,0,120,543,4.53,7.24,1081.24,3297528.62,1224.05,3560733.66,501.71,1537546.27,943.3,2478175.85,NA
130170405000008,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704009,Centro,1,0,36,186,5.17,5.23,1241.81,4462834.5,1354.7,4723512.41,446.43,1351109.06,1041.67,2550724.1,NA
130170405000009,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704006,Santo Antônio,1,0,147,648,4.41,5.26,554.81,299059.31,721.74,268286.03,363.2,302484.74,716.7,343694.13,NA
130170405000010,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704006,Santo Antônio,1,0,190,863,4.54,6.42,511.86,2422751.15,944.21,4076981.93,274.38,777299.59,728.89,1737265.02,NA
130170405000011,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704005,São Francisco,1,0,265,1133,4.28,4.45,708.2,478627.63,762.89,473846.51,376.72,450669.86,636.69,596435.56,NA
130170405000012,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704010,São Cristóvão,1,0,195,851,4.36,5.23,990.84,3762617.25,1073.41,3988793.57,525.14,2274942.86,832.07,3351659.76,NA
130170405000013,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704010,São Cristóvão,1,0,191,752,3.94,5.06,1080.65,2701660.94,1207.04,2866046.02,527.4,1335238.45,1041.31,2103656.25,NA
130170405000014,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704004,São Sebastião,1,0,284,1295,4.56,6.56,1205.85,79443939.9,1542.62,101209521.41,498.42,23331680.72,981.86,45531832.63,NA
130170405000015,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704002,Nova Humaitá,1,0,401,1791,4.47,6.84,492.13,414038.29,694.88,443832.81,229.51,203307.96,545.3,311046.51,NA
130170405000016,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704001,São Domingos Sávio,1,0,211,865,4.1,5.51,1642.73,2930829.23,1733.08,2935464.89,781.89,1627924.93,1284.67,2029771.01,NA
130170405000017,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704012,Divino Pranto,1,0,40,204,5.1,7.68,541.35,136517,656.18,88674.84,263.71,140964.2,573.74,128645.32,NA
130170405000018,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704007,Novo Centenário,1,0,143,604,4.22,5.12,899.66,1342717.23,1005.09,1394506.71,443.65,586718.25,784.92,770817.05,NA
130170405000019,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704005,São Francisco,1,0,139,609,4.38,4.24,809.63,2161644.96,987.18,2463058.22,425.12,862262.99,831.83,1350796.59,NA
130170405000020,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704005,São Francisco,1,0,214,969,4.53,6.57,479.57,206393.2,593.23,187776.35,252.51,143914.87,569.42,144074.67,NA
130170405000021,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704005,São Francisco,1,0,203,884,4.35,5.79,801.42,1771594.38,851.77,1840371.45,383.98,670807.52,683.37,990036.22,NA
130170405000022,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704010,São Cristóvão,1,0,170,760,4.47,4.89,680.81,415673.01,746.7,406645.06,350.89,274189.88,642.76,314784.26,NA
130170405000023,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704010,São Cristóvão,1,0,231,948,4.1,6.12,702.93,1800567.77,859.14,2067905.27,369.29,757257.84,710.55,1215749.31,NA
130170405000024,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704001,São Domingos Sávio,1,0,225,1042,4.63,9.14,624.34,3294056.46,793.66,4057295.7,302.41,1107863.34,662.74,2192183.89,NA
130170405000025,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704011,Nossa Senhora do Carmo,1,0,255,1181,4.63,7.43,498.11,161893.8,582.65,140013.34,293.15,159739.81,566.84,153722.95,NA
130170405000026,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704011,Nossa Senhora do Carmo,1,0,257,1355,5.27,7.94,413.44,203806.66,647.89,167258.87,190.43,105944.18,559.63,104721.5,NA
130170405000027,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,181,544,3.01,6.15,349.27,307313.43,602.07,378221.79,225.3,201482.58,562.64,313967.66,NA
130170405000028,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,162,826,5.1,8.82,357.91,117350.81,475.26,99912.13,138.15,71907.18,406.69,102598.07,NA
130170405000029,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,273,1293,4.74,7.28,462.15,128271.31,504.66,118576.45,231.27,94790.31,416.28,93602.84,NA
130170405000030,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,181,812,4.49,6.65,175.51,63757.14,481.33,27092.47,99.12,47110.35,352.01,78485.94,NA
130170405000031,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,93,256,2.75,5.64,549.44,123267.42,561.52,119150.7,324.44,121285.06,478.37,105074.1,NA
130170405000032,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,126,690,5.48,10.76,136.51,51419.71,505.88,2249.2,61.39,26428.78,457.25,15666.65,NA
130170405000033,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,63,363,5.76,9.06,128.1,56289.86,538,13002.86,58.33,26954.93,376.38,54880.83,NA
130170405000034,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,63,390,6.19,7.87,170.62,197002.98,632.29,453227.47,68.42,58941.66,376.31,211493.67,NA
130170405000035,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,47,206,4.38,8.72,296.43,94541.34,535.85,40531.74,163.77,68099.22,521.77,29271.04,NA
130170405000036,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,57,310,5.44,9.82,91.84,47318.42,523.5,43344.72,46.38,23215.59,480.68,32248.32,NA
130170405000037,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,236,1395,5.91,9.24,406.36,529929.53,570.84,651255.86,159.32,174370.34,451.41,362729.8,NA
130170405000038,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,252,1431,5.68,7.73,360.79,184395.31,531.68,180855.72,156.8,104199.94,460.1,166384.11,NA
130170405000039,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,6,34,5.67,6.67,85,43350,510,0,104.11,34697.54,282.57,45258.29,NA
